text	label
absolutely love when water be spill on my phone . just love it . time for a new phone .	1
i be hop just a little more shit could hit the fan this week .	1
user do not forget that nick foles be also the new tom brady . what a preseason ! toomanystud q b thank god we don t have tebow	0
i constantly see tweet about arsenal on twitter . thanks for keep the world update user & user . huge arsenal fan	0
can feel the foot pulsate . slow one . because my rest heart rate be circa 4 5 bpm .	0
god that shower felt so gud .	0
can feel the foot pulsate . slow one . because my rest heart rate be circa 4 5 bpm .	0
you be my kryptonite ! heart rt al je dit herkent ( ( ( one direction )	0
love an on field argument with user fuck off you cunt you fuck off nice header nice kick	0
wow , kid drink vodka in the back of the room during a lecture . you guy be classy .	1
we all have that one person who we wish we never give our phone number to . ted	0
tweeter ? twit ? austin and ally sure be creative . omg i have to twit	0
user and 3 gallon of seeman	0
you know what we could be together for life but you fuck me last nigth and i be drunk . , quote fake love	0
i can do what i want to . i play by my own rule : purple_heart :	0
first day of school . how exciting ! exhaust	0
you be drag down by the very people who claim they be try to inspire .	0
user lol . you get it in one happy , bed now night monkey see you some time soon at worky woo	0
love the political advice on twitter . get inform	0
brain say he will not be make anymore transfer sad excite	0
user mer fuck my life	0
user user i wudnt say funny lmao !	0
user should move back up fella . i be already here . on my own . have load of fun	0
user absolutely ! she just keep re - tweet anything and everything that mention her name . my page be flood ! enough , i say .	0
user look awesome . how long do it take to paint ?	0
i do not know what to do with my life besides get high and make music	0
this 8:20 friday class be gon na be great !	1
too bad she ' s not that good at play the gay part of her character . pll	0
this lab class boring af	0
i choose brown sugar mini wheat	0
love be up early after get no sleep	1
