response text	Label
and how did the wise creator come into existence ? all that wisdom and creativity cannot come to existence accidentally or spontaneously . <repeated>	0
the laws of physics are short , descriptive statements that describe the operation of certain natural phenomena that always seem to occur in the same way . many times the " laws of physics " have been amended by further information , causing the law to be restated . actually , i think he meant the way that we have observed the universe and all of nature to operate .	0
well , the actual personality of the computer is in the hard drive . ram really is not anything but a notebook , and the motherboard is more of a nervous system . so the processor and hardrive is the mind - the processor being the modivator , and the hard drive being the memory . if i were to take the intel p3 out and place an athlon <tong> 3000 + in it ' s place , would the computer be a different computer ? no . it would be the same computer .	0
when you have no constructive comment just attacks the messenger with your insultsand name calling . <repeated> typical . <repeated> so very sad . <repeated> its radicals like you that hurt the cause of gay rights . <repeated>	0
and i just say that it would be unjust and unfair of you to force metaphysical belief systems of your own which constitute religious belief upon your follows who may believe otherwise than you . get pregnant and treat your fetus as a full person if you wish , nobody will force you to abort it . let others follow their own beliefs differing or the same . otherwise you attempt to obtain justice by doing injustice . mo	0
and the loss to society because people used guns instead of an alternate weapon is ?	0
what ' s the matter ? can not anybody in kc afford to have 2 cars ? emoticonxwow	1
um , of course , it was too much to expect murderers to shell out for burying their victims . i keep forgetting i am in dick cheney ' s america .	1
are you saying that given enough time you can come with answers ? that ' s a statement of faith .	0
considering what you turkeys did to the state of california , with its budget and social depravity , you have no room to talk . i am surprised the lord has not cast san francisco and l.a. into the pacific ocean yet .	1
i am trying to become a going in to college for pre - med and i am shocked at the big decline in competion for such courses . not only has obamas healhcare programs overestimated the capability of our current amount of healthcare providers , but it is also deterring many from seeking such careers . by trying to help everyone in the short term , he is doing more damage to everyone in the long term .	0
very well said , but remember , evolution doesnt mean atheism , but creationism means religion . i know christians that believe in evolution , but i dont know atheists that believe in creationism .	0
we do ! on npr ( which is our national public radio ) they play the bbc world news daily . it is a fantastic source , i must agree .	0
and we have an emotional post with no substance whatsoever . i am sure your twin will be checking in soon . i think i will keep a count of this type of post .	1
the point is that there are plenty of issues that go on in church meetings and denominational conventions that are areas of enormous disagreement <elongated> and struggle . it happens - - it ' s not just this issue . you just do not hear about them because the press is not interested in those issues .	0
<allcaps> roflmao </allcaps> ! nice way of restating the ' inaccurate ' statement basically the same way .	1
yea they get over it in a year or two . ha <elongated> ha <elongated>	1
so have i , since i know that evolution has and does take place . but i catch it from both sides because i do not believe the scientific explanation of the origins of life or the beginning of intelligent awareness .	0
i think that ' s a good question . i also wonder how long the medical establishment has had this rule ? since there must be some long - standing procedures in executions in the united states that require , by law , a doctor ' s supervision .	0
because everyone is equal in the eyes of the law , and rightly so . as for moral standing , you see no problem with equating his immoral behaviour with your own response . most would .	0
because apes , monkeys and chimps are on different paths . you would not expect a shark to evolve into a barracuda - like animal . things evolve to fill niches , we currently fill a niche , there is nothing pushing apes , chimps or other primates to fill a niche that is occupied .	0
oh yeah , it ' s a real brain teaser . who would have thought it ' s possible for someone to have two parents ?	1
yea , at least on earth you get some relief , you die eventually .	1
