text	label
that be a classic post from easyrider ! one of his more assinine attempt at intelligent design . orion ' s folly : some other goody from that site . never link to those specific article . but before orion get too self - righteous , let us look at some ot the topic he consider ' funny ' in a link he give over at the usat creation / evolution forum : christian crime - pastor molests widow ' s boy - pastor molests adopt daughter - priest molests altar boys - late for church - christian racist kidnapper - music pastor molests - bush ' s faith - base failure - pastor molest , gun , drug - $ 400,000 miss - priest molest - church youth coach molests - bush suppress student prayer - sen byrd ' s ' white ( ' n ' word ) ' be this funny ? it ' s apparently real funny to orion . his link also have a pornographic sub - link on the virgin mary , describe her in graphic , profane language . orion - christ - denier like you and brummer need a lot of help .	1
the forum rule . 3 a ) no personal attack , insult , name call , offensive generalization , or label . i fail to see where i break any of those rule , no name be call , there be no labeling , there be no none of it . and even if there be , you do it all the time , so what make you any different . practice what you preach penfold .	0
gallileo be kill because of blasphemy of the church , say the earth go around the sun . actually , galileo wasn ' t kill . he be sentence to house arrest . and his sin be in declare that the earth move since the bible state that the earth do not move .	0
all too often those oppose to intelligent design simply reject any notion of god no matter how unemotional and rationality base that notion be . well , that ' s your claim , anyway . truth be that billion of theist accept evolutionary theory as be and reject the standard id argument .	0
this be why i do not advocate the american holocaust that have destroy nearly fifty million unborn child on the altar of `` choice `` ! shadow ' s reasoning that `` i will have a baby when i be ready `` smack of pure , unadulterated selfishness . i do not give a tinker ' s damn about the reason nor circumstance . when that child be conceive , all bet be off and the focus must be on that child ! hang in here everyone , bassman ' s be read `` _____ `` ' s post over and over and they have get him talk about the `` american holocaust `` ! emoticonxbanghead until you have be in my exact situation , i would not expect someone like you to understand . i really do not give a emoticonxcensored if you think it be selfish or not - it be not for you to judge .	1
character like our jyosh just want to diminish gay in society , and deny that gay be victim of religious homophobia . this be why he pretend that bully of gay kid be just a feature of bully in general ( as if blue - eyed kid be routinely bully because of their eye colour ! ) , rather than a direct consequence of religious bigotry . he can not bring himself to admit the truth there . as we have see in recent year , kid who be bully can become so anti - social that they become violent , and attack those who have bully them with weapon and mass murder . i be not condone this behavior , but i be not surprised that it happen . those who support the bullying of gay kid and others . well , you get what you sow .	0
what i marvel at be that you be not even embarrass to ask such an ignorant question . because if it ' s a chicken egg , and if it ' s allow to incubate to term , it sure be not go to be a crow when it hatch . and to be even more simplistic , a chicken egg be still a chicken while it ' s in the egg . just as a human be be still a human be in the womb . thats funny , because these scramble egg sure do not taste like kfc to me .	1
or by not grant them to the child you be endanger the right of the child carry by the woman . you be give her a dictatorship . and what exactly be i granting to the suit - wearing politician in washington by give them the right to revoke her ability to make these decision for herself ? i do not think dictatorship be the right word , since she be not ask for the power over anyone but herself , and her child . would you call a man dying of inoperable cancer who decide to end his chemotherapy a dictator ? or a parent who decide to remove their child from life - support ? would you rather it be a democracy ? that everytime a woman be faed with this predicament , we put it to a vote ? how about an oligarchy - where her situation be put in front of some committee who decide her fate ?	0
this make no sense . bet do not exist to be exclusive entertainment for black . it be ethno - centric programming . and not very good at that ( tv1 be well ) . for there to be a ' white ' channel , at least along the line of what bet be aim to do , there would have to be a single ' white ' culture , which there be not . and bet do not exclude white from its programming . your statement seem flat out racist to me . as i say previously , ' tookie ' s ' defender seem to be overzealous in their defense of the man ( i can only take your word for it since i really have not be pay much attention ) , but i do not see how their accusation have anything to do with hate crime , and your perception of how they be enforce . you have to be kid me . you do not really believe this , do you ? sure they may have white people on from time to time , but obviously they exclude white people since you can turn it on and almost always see only black people . so the criterion of whether something be racist or not be whether or not there be a ' single culture ' behind it ? i do not see why have a culture behind it be really relevant . thing can be racist or not independent of whether there be a culture there .	0
have you consider that there be some liberal , who be retire from their job ? be you tell me liberal have job ? you sure can not tell it by all the anti military / war protest , the flag burning , you saw prior to the start of the war and by all the libs that post here 24 / 7 . they be either unemployed or 12 year old kid out of school for summer vacation . 	1
`` that may be true , but it be not harmful so i doubt it really should be on the list . `` well that may be your contention , but medically that be not necessarily true . maybe be gay do not mean you be suicidal or depressed , but there be more of it go on in the gay life than in the hetero . that in itself be a wake up call . depression and suicide be harmful , even if it do not touch you personally . if it be as simple as you say the apa would not be re - evaluate `` reorientation therapy `` would they and with positive critique too . you would not have prominent gay activist like camile paglia deride the gay community for be malcontent when those unhappy with be gay seek and desire the way to be hetero .	0
that be because all citizen be bear here , eh ? emoticonxrolleyes where be here ? you do not seem to want to display your location . we all know there ' s more than one way to become an american citizen . that say , as an american citizen , english be the native tongue . it ' s the primary language taught in american school and it ' s how our government communicate with its citizenry . i be not really interested in debate this topic with you , it probably should be a thread unto itself . i think dono be merely point out that if you want to make a ' snippy ' reply , it carry more weight when correctly spell .	0
you keep bring up the red cross . the majority of donators to the red cross be most likely christian as well , so what ' s your point ? emoticonxconfused but be the red cross christian ? obviously most contributor be christian . that ' s obvious as most american be christian .	0
and we know this how ? you complain about the 90 % figure be erroneous and then make an unsupported statement like this ? furthermore , if mexico be make an earnest attempt to smash the cartel and we be finance it in part , would not we want to help reduce the weapon traffic flow south into the cartel ' s arsenal ? if you pay attention the batfe say so . yes but some people do not want to close the border . they prefer no border control .	0
who be this ' us ' you speak of ? you get a pet in your pocket ? your buddy gaonosa who assure us you be not a bb have abandon you it appear . perhaps he saw you as the lost cause you appear to be ? when the whole world appear to be nut , look in the mirror and you will find him emoticonxagree i be not his buddy . my objection be that you think he be english ( please tell me he ' s not ) and that your perception of english people be wrong and insulting i do not care whether american ( or should i be a prat like you and call you a yank ? ) people carry gun or not and have never support his argument . look at some of your stupid smug post i be not surprised that you need a gun for protection . look in the mirror fella and you will see penfold mk ii .	1
the english government have effectively abolish the right of englishman , confirm in their 1689 bill of right , to `` have arm for their defence , `` to be more accurate , ( not something note amongst the pro - gun rabble ) the right of protestant to have arm for their defence against catholic . i think we have all see quite enough of this `` defence `` in northern ireland . ( assume that yank can locate the place with a map emoticonxrolleyes )	0
oh for goodness sake , who would trust lee fang ' s take on anything ? the dishonesty of think progress lee fang | verum serum oh , and here be the full story : textbook be write for texas kid appear to lean to the right | mom | chron . com - houston chronicle from here : i agree fully with this . i be surprise that you would agree with the president of a group that say it promote ' individual liberty to counter the radical right . '	0
because the constitution do not exclude us from marriage . people like you do . and , since it mean nothing to you anyway , you should just accept it . oh , but it do mean something to him . he can not / will not say what , but it sure be not base on homophobia , no siree ! it ' s just really , really important that marriage stay a striaghts only club , for reason that can not be explain , but there ' s no bigotry , do not worry on that score . emoticonxrolleyes	1
i agree with you , that ' s just plain silly . first of all we do not know if a soul even exist , and secondly , even if we have proof that it do , we have no way of know when it become reality for that person . maybe it ' s like sin , you know , a man - make concept wink you want to consider a zef a ' person ' - fine , let us apply this so - call ' logic ' across the board . if a woman should for whatever reason die while give birth , then the baby should serve a life prison sentence for murder emoticonxgood have a nice day emoticonxangel never think of that . if that `` person `` have right , do they have responsibility ? could a fetus be charge for cause toxemia ? how about sue the little tyke for give mom varicose vein and stretch mark ?	1
the truth : heston take his nra show to denver and do and say exactly what we recount movie . php ? mov = heston . from the end of my narration set up heston ' s speech in denver , with my word , `` a big pro - gun rally , `` every word out of charlton heston ' s mouth be uttered right there in denver , just 10 day after the columbine tragedy . but do not take my word – read the transcript of his whole speech heston . php . heston devote the entire speech to challenge the denver mayor and mock the mayor ' s plea that the nra `` do not come here . `` far from deliberately edit the film to make heston look bad , i choose to leave most of this out and not make heston look as evil as he actually be . . you liar . you be distort the truth the same way moore do . the truth be the nra event be plan 1 year before the killing in littleton . the truth be the nra rally be cancel excpet for the officer meeting which be require by law to not be cancel . heston say `` from my cold dead hand `` in north carolina 1 year later . and what transcript be you talk about ? the transcript be post above . what big pro - gun rally be you talk about in denver . do you mean the one that never happen ?	0
okay , well i think that you be just find reason to go against him . i think that you have some bad experiances when you be young or a while ago that make you turn on god . you be look for reason , not very good one i might add , to convince people . either way , god love you . happy here come the christian , think they can know everything by guess , and commit the genetic fallacy leave and right .	1
when it come to enable the terrorism of gun death in america , no one beat the nra | buzzflash . orgstatesman . comand now we have a nutter in washington state who assassinate four police officer while they be get ready for their next shift in a coffee shop . the nra be the father and mother of pure anarchy and lawlessness . so simone , if the shooter have instead drive his toyota prius into a crowd , kill many as a result , would you call for ban toyota priuses ?	1
an evolutionary mutation of a gene be : a new and useful gene that never b4 exist , bring new body structure and function that never b4 exist . actually , there be no such thing as `` an evolutionary mutation of a gene . `` a mutation be a mutation . for evolution to have occur require neither that a mutation be new nor useful and they do not require new structure nor structure . here ' s a little mental exercise for you . at most , a person can have only two allele for any gene . this would have be the condition of the human race 6,000 year ago accord to creationists . it would not have be possible for there to be more than 2 allele for any give gene . now consider that for every gene in the human genome there be an average of 14 different allele , sometimes more , sometimes less . where do all of those allele come from ?	0
 an ak - 47 assault rifle , a high - calibre sniper rifle and machine gun be among a large cache of weapon uncover by police in a sting operation culminate in a series of sydney raid . undercover officer buy a range of illegal gun , include the ak - 47 , over a series of month from a target supplier . in a similar raid yesterday , in powder work road , elanora height , officer seize a large cache of weapon . it include a 22 magnum revolver , a 12 - gauge shotgun , a . 410 calibre shotgun and ammunition , two . 22 calibre rifle , two lee enfield . 303 bolt - action rifle , a m6 scout dual calibre shotgun / rifle , a . 270 calibre bolt - action rifle , a . 45 calibre muzzle load rifle , a 22 - 250 calibre bolt - action rifle andxa martini action rifle . i know , maybe the american criminal will just import gun in with their mexican illegal drug . i do not know for sure but i believe the mexican drug gang would not mind another revenue stream . net result , zilch , nada , zero . but you know that ! emoticonxsmilie gun control be nothing but a scam !	1
i get 4 after 9 hour of school . suck it up . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - homework should take as long as need to , also how do you have 9 hour school btw ? and put in 4 hour be impressive , assume you do not have someone with a cat o ' nine tail stand behind your chair . when i be your age i go absolutely insane , i be amaze you can maintain such discipline .	0
