sen	label	f_w	f_p	f_weight	p_weight
absolutely love when water be spill on my phone . just love it . time for a new phone .	1	0	0	[0.03975416719913483, 0.03975416719913483, 0.10805365443229675, 0.1080629751086235, 0.10806223750114441, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483]	[0.0805271714925766, 0.019980302080512047, 0.019990643486380577, 0.01998589001595974, 0.14763548970222473, 0.01998031511902809, 0.1476352959871292, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073]
i be hop just a little more shit could hit the fan this week .	1	0	0	[0.03975416719913483, 0.03975416719913483, 0.10805365443229675, 0.1080629751086235, 0.10806223750114441, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483, 0.03975416719913483]	[0.0805271714925766, 0.019980302080512047, 0.019990643486380577, 0.01998589001595974, 0.14763548970222473, 0.01998031511902809, 0.1476352959871292, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073, 0.041866548359394073]
user do not forget that nick foles be also the new tom brady . what a preseason ! toomanystud q b thank god we don t have tebow	0	0	0	[0.10811663419008255, 0.10761076211929321, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.10811646282672882, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884]	[0.13770243525505066, 0.13770243525505066, 0.018771082162857056, 0.01870087720453739, 0.02182026579976082, 0.13770243525505066, 0.01995432935655117, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574]
i constantly see tweet about arsenal on twitter . thanks for keep the world update user & user . huge arsenal fan	0	0	0	[0.10811663419008255, 0.10761076211929321, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.10811646282672882, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884, 0.039773888885974884]	[0.13770243525505066, 0.13770243525505066, 0.018771082162857056, 0.01870087720453739, 0.02182026579976082, 0.13770243525505066, 0.01995432935655117, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574, 0.039049725979566574]
can feel the foot pulsate . slow one . because my rest heart rate be circa 4 5 bpm .	0	0	0	[0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806, 0.05000000074505806]	[0.020777646452188492, 0.14854691922664642, 0.025088150054216385, 0.1489047110080719, 0.021010423079133034, 0.04156951978802681, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396, 0.042435914278030396]
god that shower felt so gud .	0	0	0	[0.04267021641135216, 0.04267021641135216, 0.11596579104661942, 0.11597006022930145, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216, 0.04267021641135216]	[0.12248420715332031, 0.019694708287715912, 0.019694847986102104, 0.1455252319574356, 0.11485224962234497, 0.019696040078997612, 0.021567542105913162, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915, 0.04126811772584915]
can feel the foot pulsate . slow one . because my rest heart rate be circa 4 5 bpm .	0	0	0	[0.08815557509660721, 0.03776641935110092, 0.10226689279079437, 0.03776641935110092, 0.1026596873998642, 0.10265494883060455, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092, 0.03776641935110092]	[0.02770894393324852, 0.02091030776500702, 0.03001115471124649, 0.02112346701323986, 0.15437763929367065, 0.15437763929367065, 0.02237071841955185, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458, 0.04377849027514458]
you be my kryptonite ! heart rt al je dit herkent ( ( ( one direction )	0	0	0	[0.06619536131620407, 0.09811133146286011, 0.09810734540224075, 0.09807731211185455, 0.03609314188361168, 0.09811133146286011, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168, 0.03609314188361168]	[0.07002954185009003, 0.021981237456202507, 0.14906294643878937, 0.14208729565143585, 0.020174631848931313, 0.020225470885634422, 0.026911647990345955, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554, 0.04227134585380554]
love an on field argument with user fuck off you cunt you fuck off nice header nice kick	0	0	0	[0.0950775295495987, 0.09507745504379272, 0.09507721662521362, 0.03497706726193428, 0.09506235271692276, 0.0950491800904274, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428, 0.03497706726193428]	[0.1340365707874298, 0.1340365707874298, 0.12799909710884094, 0.0182005874812603, 0.05218467488884926, 0.018139999359846115, 0.02127077616751194, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869, 0.03801015764474869]
wow , kid drink vodka in the back of the room during a lecture . you guy be classy .	1	0	0	[0.11598465591669083, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.146526500582695, 0.146526500582695, 0.02263551391661167, 0.019847100600600243, 0.058447930961847305, 0.024287832900881767, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822]
we all have that one person who we wish we never give our phone number to . ted	0	0	0	[0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.11598468571901321, 0.11598440259695053, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016]	[0.02391398325562477, 0.024417990818619728, 0.02391398884356022, 0.023918334394693375, 0.17670176923274994, 0.025605686008930206, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508]
tweeter ? twit ? austin and ally sure be creative . omg i have to twit	0	0	0	[0.11598465591669083, 0.11598465591669083, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442, 0.04266837239265442]	[0.146526500582695, 0.146526500582695, 0.02263551391661167, 0.019847100600600243, 0.058447930961847305, 0.024287832900881767, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822, 0.04155206307768822]
user and 3 gallon of seeman	0	0	0	[0.101154625415802, 0.03721270710229874, 0.1011354848742485, 0.10115180909633636, 0.101154625415802, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874, 0.03721270710229874]	[0.15242254734039307, 0.15242254734039307, 0.02062826417386532, 0.02062816545367241, 0.020727872848510742, 0.028033968061208725, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386, 0.043224066495895386]
you know what we could be together for life but you fuck me last nigth and i be drunk . , quote fake love	0	0	0	[0.11598459631204605, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.11598467081785202, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472]	[0.1622639298439026, 0.09983421117067337, 0.02241966314613819, 0.022040605545043945, 0.02204926684498787, 0.02486865594983101, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805]
i can do what i want to . i play by my own rule : purple_heart :	0	0	0	[0.11598459631204605, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.11598467081785202, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472, 0.04266837611794472]	[0.1622639298439026, 0.09983421117067337, 0.02241966314613819, 0.022040605545043945, 0.02204926684498787, 0.02486865594983101, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805, 0.04618024826049805]
first day of school . how exciting ! exhaust	0	0	0	[0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.11598468571901321, 0.11598440259695053, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016, 0.042668379843235016]	[0.02391398325562477, 0.024417990818619728, 0.02391398884356022, 0.023918334394693375, 0.17670176923274994, 0.025605686008930206, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508, 0.05010917782783508]
you be drag down by the very people who claim they be try to inspire .	0	0	0	[0.10806194692850113, 0.10806194692850113, 0.03975377231836319, 0.03975377231836319, 0.10806194692850113, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319, 0.03975377231836319]	[0.1342410147190094, 0.1342410147190094, 0.019383156672120094, 0.11575935781002045, 0.03584897518157959, 0.02757290191948414, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365, 0.03806813433766365]
user lol . you get it in one happy , bed now night monkey see you some time soon at worky woo	0	0	0	[0.10374090075492859, 0.10640498995780945, 0.10653363168239594, 0.05625583976507187, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124]	[0.05319465324282646, 0.1302294135093689, 0.08771904557943344, 0.022858837619423866, 0.12213540822267532, 0.06682263314723969, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397]
love the political advice on twitter . get inform	0	0	0	[0.042672012001276016, 0.1159929484128952, 0.042672012001276016, 0.11591069400310516, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016]	[0.11875911802053452, 0.10523910820484161, 0.019770491868257523, 0.021960560232400894, 0.14352336525917053, 0.020802881568670273, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866]
brain say he will not be make anymore transfer sad excite	0	0	0	[0.042672012001276016, 0.1159929484128952, 0.042672012001276016, 0.11591069400310516, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016, 0.042672012001276016]	[0.11875911802053452, 0.10523910820484161, 0.019770491868257523, 0.021960560232400894, 0.14352336525917053, 0.020802881568670273, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866, 0.04071030765771866]
user mer fuck my life	0	0	0	[0.10374090075492859, 0.10640498995780945, 0.10653363168239594, 0.05625583976507187, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124, 0.039191536605358124]	[0.05319465324282646, 0.1302294135093689, 0.08771904557943344, 0.022858837619423866, 0.12213540822267532, 0.06682263314723969, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397, 0.03693143650889397]
