text	label
now you be be insult . evolution make no statments about your god . for that matter , neither do cosmology , astronomy , chemistry , physic or geology .	1
and if i do then so what ? hiter ' s mom and saddam ' s mom both be give the option to abort their pregnancy by nurse and decide against it . so i guess this make pro - lifer responsible for the holocaust and the slaughter of kurd ?	1
raw data : past deadly u.s. mass shooting - local news | news article | national news | us news - foxnews . com that ' s just the most egregious mass shooting in the good old us of a .	1
this remain unspecified . ( i explain this in the last paragraph )	0
read to the very end of the verse . `` if you be not pleased with her , let her go wherever she wish . you must not sell her or treat her as a slave , since you have dishonor her . ``	0
that sentence do not even make sense . do it occur to you that you should actually think about what you be go to say and express actual idea ?	0
minor quibble . omnipotence merely mean that a be be capable of all thing . it state nothing about how awkward or difficult these thing be . make a galaxy may require some serious brainsweat , whilst make a person may not . anyway , besides that i agree with you !	1
pregnancy be a health issue only for the woman . your glib remark pretend to sympathy be insult .	0
well , in the case above , it be step - by - step . first , an exist enzyme be modify to a new use , and over time , become refine to work well and good . this be the way evolution work . nothing be de novo ; it ' s always a modfication of something else . second , a mutation produce a regulator that only allow the enzyme to be produce if the substrate be available . again , this be refine by natural selection over time . in the end , the newly - evolved system be irreducibly complex , because all three part have to be present for the system to work . and do show us your number prove that such process can not produce new information . if you do not know how , i ' d be please to show you how a mutation change the information in a population .	0
oh , well , that convince me .	1
then there ' s that state thaht want to remove the use of bc and ad from the calendar . i guess they will change it to some neutral like plus and minus number just to stay with the rest of the world . or maybe 2005 will change to 133,956 , 373,278 .	0
hey thanks for the `` edit / out of context sermon . `` peter be rebuke for interfere with the plan of god . oh . . . christ never say to throw the sword away . . . `` put it away `` mean put it away in the sheath . mark 8 : 31 and he begin to teach them that it be necessary for the son of man to suffer many thing and to be reject of the elder and chief priest and scribe , and to be kill , and after three day to rise again . 32 and he speak the word openly . and take him aside , peter begin to rebuke him . 33 but turn around and see his disciple , he rebuke peter , say , go behind me , satan , because you do not mind the thing of god , but the thing of men . 34 and call near the crowd with his disciple , he say to them , whoever desire to come after me , let him deny himself and take his cross , and let him follow me . 35 for whoever desire to save his life , he shall lose it . but whoever shall lose his life for my sake and the gospel , that one shall save it . 36 for what shall it profit a man if he gain the whole world , yet damage his soul ? 37 or what shall a man give as an exchange for his soul ? 38 for whoever may be ashamed of me and my word in this adulterous and sinful generation , the son of man will also be ashamed of him when he come in the glory of his father , along with the holy angel . matt 26 : 47 and as he be yet speak , behold , juda come , one of the twelve . and with him be a numerous crowd with sword and club , from the chief priest and elder of the people . 48 and the one betraying him give them a sign , say , whomever i may kiss , it be he ; seize him . 49 and come up at once to jesus , he say , hail , rabbi . and he ardently kiss him . 50 but jesus say to him , friend , why be you here ? then come up , they lay hand on jesus and seize him . 51 and , behold , one of those with jesus , stretch out the hand , draw his sword and strike the slave of the high priest and take off his ear . 52 then jesus say to him , put your sword back into its place . for all who take the sword shall perish by a sword . 53 or do you think that i be not able now to call on my father , and he will place beside me more than twelve legion of angel ? 54 how then should the scripture be fulfil , that it must happen this way ?	1
and you have be refute time after time . lie , damn lie and statistic be a starting point . its the false idea of the more powerless you render yourself the safer you will be . i bet you strongly believe its possible to pick up a turd by the clean end .	1
oh , so you be not in any way talk about evolution in these post ? then why be they post on the c v e board ? please , that ' s just pathetic .	0
union fought to keep child out of work for the same reason they fight to keep black and woman out of work - they want a monopoly on employment .	0
what i find hard to believe be that politician will place their decision above the right to life of a human person only for political expediency .	0
you know , from the title , i be sure this would be about the hitchhiker guede to the galaxy ' bible fish . 	1
yes , i believe there will be a lot more to come ( as you say , just look at the `` hobbit `` that be recently discover ) . i love this sort of look into the migration of everyone over the last 160,000 year or so .	0
they be both write in the bible . neither of them have any evidence ( apart from the bible ) to support their existence . one of them have be prove to be utterly false . this naturally discredit the other , as they appear in the same publication by the same author . why decide one be true when the other be clearly not , and neither have any other support evidence ?	0
how do you define `` convenience `` ?	0
nope . not part of evolutionary theory . it would be stupid to claim that increased genetic variability would `` disallow `` any portion of the population from breed .	0
you know ' my kind ' ? how very presumptuous on your part . then you know individual choice be the issue , not enforce medical procedure . you do not answer the question regard pregnant woman who intend to carry to term be require to have a sonogram .	0
problem be , you think require a woman not to kill someone be `` treat them as breeding animal `` . kind of an odd thought .	0
but . but . i just swallow 56 zygote so that they could vote by proxy through me for the ripofflican ( tm ) party this upcoming election so they can win . now i be go to have all that indigestion for nothin ' . as to drive . do not care . what i will miss most be all of those credit card offer that come in their name . there ' s just so much that they , live though me want to ' buy now and pay late ' on . you say they can not do that ? but , that ' s just the argument chem99a and i be have in another thread . and this be what it devolve down into . parasite attach to a human and one that ' s coax it ( often with governmental support ) to nurish it . not much difference . personally , i ' d rather have the sucker permanently attach to me so i be not force to think about feed it or change it ' s diaper . i ' d also take a kick to the rib over cholic cry . silly neglegence law . yep . i do think some would be willing to work towards compromise that would make the most happy . jitobear seem to be one from my observation . but , others want it their way . i dislike abortion but can see in some circumstance that there really be not much of an alternative . i also see that most anti - abortionist often do not help to provide alternative . i do not want to make it illegal per se but do want to work towards reduce the instrances in which a woman would see it as a more viable alternative . it ' d be nice if society and science would progress to that point . but , since it be not and since i be evil ( tm ) , kill it . go ahead . be a murderer . muahahahaha . evil win ! go evil , go evil , go evil . um , be not evil subjective ?	1
that `` somebody `` be a jesuit priest , the idea meet some initial resistance because of it ' s religious overtone . but the overwhelming evidence in favor of it carry the day . you should study some history too .	1
no i do not say that the creation of energy and matter do not coincide the creation of the law that govern / regulate them . what i say be that the law be not the result of the existence of energy , matter etc .	0
once one be adept at find evidence after a conclusion be presume , all sort of `` proofs `` reveal themselves . what ' s next , nostradamus ?	1
or , give that this be about feast , a waist be a terrible thing to mind .	1
first , i think you may have misunderstood the `` pro - life mantra `` see how many pro - lifer think it permissable to disconnect life - support system in certain circumstance , which necessarily result in a person ' s death . but nevertheless , i think we agree that for purpose of the abortion discussion , it be a close analogy to assume the violinst be only connect for nine month , and no long than if we assume the violinist to be connect for some other arbitrary period of time . be i correctly discern an agreement on that ?	0
so be jesus , aka god , a liar ? or be not even one of the million of believer who pray for terri schiavo ' s life to be save really god ' s child ? gee , i wonder how many people out there be be lead by a pastor , priest , or what have you , that pray but god do not listen because that religious leader be a fraud ? hmm , maybe the rape or molestation of young boy , adulty , and so on , by religious leader be more widespread than anyone could have imagine ? ! 	1
so what you be say be that by mention both in the same post , i be say that unless someone be a yec then they be not a christian ? because that be what you attribute to me . yet you have yet to post evidence of me say that to anyone . nor have you support your original claim here , you say this : last i check , no credible fossil fuel firm hire yec geologist . prove this assertion since you research it thoroughly enough to start a thread about .	1
that be amazing . i find it crazy that this baby be much young and small and far less developed than many of the baby that be abort . abortion be murder .	0
there ya go , tither , three guy out of several hundred thousand ?	1
but it take a lot long to develop . my point be that only after about 5000 year of human civilization do empiricism as science develop . religion , supernaturalism , and mythology trace back into prehistory . what we know as science do not even begin to exist until the late 1 5 0 0 s and 1 6 0 0 s . before that it be ok to do science like aristotle do - no experiment , only think about a logical answer . thus , heavy object fell faster than light one and any fool could tell that the sun orbit the earth . but science be more than an inner way of thinking . it be a process and a method for learn about the universe . it be call methodological naturalism . that be not to say the science assert that nothing exist except what be natural . it say that science can not study the supernatural .	0
and oddly enough you have be give several on silver platter . perhaps you need to visit a neurologist and get check for memory problem ? just to remind you once more - sickle cell trait be a mutation and it benefit the phenotype under specific definable condition . do you really want to get hit about the head with that bat yet again ?	1
notice that nowhere here do you address the claim and evidence - - which the movie apparently lack - - about the assertion of `` the expelled . `` try to deflect attention from your inability to respond substantively will not fly with us ; these guy be fudge the story and share only select piece in a specific attempt to hide what really happen . for what it ' s worth , i feel a hell of a lot more vulnerable as an atheist in my profession and location than iders should feel in research and teach academia .	0
i be now slightly less confused about why i have never see this discuss before .	1
the simple fact be that people do not want the immense responsibility that logically pertain to their voluntary action action , so they fabricate denial of reality as a convenient escape , out of pure selfishness - - like every other atrocity in history . the study of law include an analysis of how people excuse their wrongdoing , fabricate pausible rationalization for their acting to benefit at another ' s expense ; denial be typically the first of these , claim that the act `` do not hurt anyone , `` however obvious the contrary . other rationale follow , such as self - preservation , natural right to act , and eventually grow defensive by blame the victim . while the fabricator typically believe his story original , it be anything but - - it ' s simply the inevitable course of selfishness .	0
actually electro , do you remember this thread ? evidence for a flood ? oddly enough it take 20 page before one of them even try to argue against the reason why the flood do not occur .	0
yeah . they should just be more consistent and have no hypocrisy in a stance that just discriminate against gay . end sarcasm 	1
this be pretty much my understanding of how natural selection be view before darwin . nonetheless , i think that my point still stand . darwin propose that natural selection be responsible for the diversification of specie . this pre - darwin concept deny this . my understanding be that anti - evolutionist refuse to accept that natural selection could have lead to the diversification of specie . until recently , when they realize that evolutionary theory could help out in their how - many - animal - could - fit - on - the - ark dilemma ; now they suddenly take an idea from evolutionary science and propose that suddenly all the present specie could `` micro - evolve `` from a few ancestral `` kind `` on the ark .	0
there be no god that support the forcing of woman to suffer and carry out unplanned pregnancy , just because some pl advocate spit it our . `` sorry , be go to force you to give birth , those men over there have decide `` . thats as ridiculous as say `` there be no god to condone the slaughter of thousand of innocent life form inside of the cut `` ( refer to disinfect a cut ) . pro - lifer have be drop on their head too many time .	1
upon review the golden rule `` do unto others as you would have them do unto you `` i see nothing of any other ' side . ' it ' s very clear - - treat others the way you ' d want to be treat . no one want to be treat badly , so if you follow the golden rule , you will be benevolent .	0
less than a playstation , of course !	1
really ! why not ? i be very interested . i think you be wrong , but i be interested . why ? i think you be right , but prisoner usually marry woman , do not they ?	1
[ quote = zsu2357 ; 361463 ] [ quote = penfold ; 361428 ] wrong . it be a precision machine design to kill effectively . it can be operate by other than human mean . yes , you would be wrong . no , they do not . true , but nobody suggest there be such a grey area . we accept your word . i have never see this , do you have example ? so far as i be aware , nobody but you believe this to be the case . [ / quot et phone home , feed - ex just deliver your case of 9 mm shell lol .	1
i see . sound too nebulous to stand up to scrutiny in the us . i be guess that the scotus would strike down such as law as be too vague .	1
well he have far political aspiration . the 9 th circuit in sodom ( sf ) be always make law instead of interpret it . that be why they be over rule so often . 	0
interest thought . such a situation would theorectically remove the division of opinion that exist base upon the perspective of gender ( ie . the pro - life religious male ) and would make any difference of opinion be base on moral / philosophical consideration alone . you could argue it would shift opinion towards the mix currently hold by woman as everyone would be in the position of have to bear pregnancy . give that there be a full mix of religious and other belief in the current day female population perhaps this would be a good analogy to such a state of be you suggest .	0
hey , thanks for the quote ! be i publish now ?	1
you be look at evolution in way too much of a magical and mystical way . evolution do not `` know `` anything . it do not have any desire . and . i lack the eloquence to briefly state mechanical ( and complete lack of desire ) aspect of evolution . i suggest you do research as to how there be no conscious think element in evolution . science will never be able to disprove any god because of some flaw science happen to point out . the best individual can do be , when people try to reason that such perfect organ imply a designer , point out that the design be not all that perfect after all . if you want to try and debate flaw in design be evidence against a god . well go ahead . but then i will just know if i be ever look for an easy debate victory i will just try to find you . at the very best all you be do be show that the idea that god create all thing perfectly probably be not true . and even then someone can just point out that apparent flaw we see be simply the ineffable will of god .	0
who say anything about `` redefine `` it ? i say you would still have your `` traditional marriage `` accord to your choose religion .	1
well , i think it be best to use a real source . like the australian fbi , call the a.i.c . the late figure . violent crime from 1996 to 2007 ( per 100,000 person per year ) homicide be pretty much a flat line no ? however there violent crime be not . and to be fair , australia ' s murder rate have always be significantly low then ours and they should be congratulate for there socialization for it too . so if gun relate crime go down but the murder rate remain relatively flat , but other violent crime go up , then what be thew point of mention that gun relate crime go down ?	1
i think i ' d give brady and penfold a chance to tell us what a bad man this guy be for defend himself like that . btw , here in alaska he do not need to have a concealed carry permit . here , if you can legally own a gun you can carry it with a few exception . merry christmas	1
so , because they do not interpret the bible as you do , they believe that there be no deity ? that be what you say . 	0
in other word youre happier because the old man do something criminal and break the law . admit it .	1
so you do not believe that life have an origin ! wow so you think its always be present on the earth ? not even the bible go that far ! and you fail to account for the observation that there be life .	1
once can not abort a pregnancy if it have not begin . the morning after pill prevent a pregnancy from ever occur by prevent the fertilize egg from implant . if one considers pregnancy to begin at conception ( i . e . fertilization of the egg ) , then petri dish be pregnant when egg be fertilize on them ( `` conception `` ) for later ivf . do we really want to be consider petri dish pregnant ?	1
' ' no , actually the earth be 150 year old . fact . and its age never change . fact . ' ' - chris formage , grand theft auto : san andreas .	1
just another anti - gun blogger . i could go on , but do so would boar the heck out of everyone , to include me !	0
so in other word your god put you on earth to stop people from kill so your god could kill them eventually ?	1
wow , make up your mind . either population change over time ( evolve ) or they do not . would your wingless beetle be able to produce wing again if they be somehow beneficial again ? you be start to sound like darwin and his finch .	1
what ' s your point ? of course they will be bind by heller just as the court be bind by roe v . wade . that point wasn ' t in dispute . as long as you be talk about 1 9 th century second amendment case law , i like the state v . buzzard ( 1842 ) .	0
be that a trick question ? no , the tabloid and other gutter press keep go on about how bad it be , because they sell paper by fan fear and hatred , and fear of crime be one of their big market . yes there have be an increase in gun crime over the year , but that ' s largely attributable to increased attractiveness of crime in a society where social mobility have come to a standstill . in any case the number of incident where firearm be use in crime be still very small , which be why every time someone get shot it be headline news . gun be incredibly rare in this country , the only time i have see gun in real life ( other than air rifle ) be on a military base .	0
you know why . because they want you to stop posting . most of them want to rant , and they do not want their rant challanged . it ' s typical of the whole evolutionary community , i be afraid . obvious_child and i be explore this up in the `` number `` thread .	1
